Alimento,Energia_KJ,Energia_Kcal,Carboidrato,Proteina
"Peixe, água doce, Corvina, cozido, s/ óleo, c/ sal, Plagioscion squamossissimus,",623,149,0,"20,9"
"Peixe, água doce, Dourado, filé, fresco, cozido, s/ óleo, c/ sal, Brachyplatystoma flavicans,",740,177,0,"18,9"
"Peixe, água doce, filé, cozido, s/ óleo, c/ sal (média de 7 espécies),",592,141,0,"23,4"
"Peixe, água doce, filé, ensopado (c/ cebola, tomate e pimentão), c/ óleo, c/ sal (média de 7 espécies),",503,120,"1,34","17,7"
"Peixe, água doce, filé, grelhado/assado, s/ óleo, c/ sal (média de 7 espécies),",590,140,0,"23,2"
"Peixe, água doce, Pintado, cozido, s/ óleo, c/ sal, Pseudoplatystoma corruscans,",456,108,0,"22,3"
"Peixe, água doce, Tilápia, filé s/ pele, cozido, s/ óleo, c/ sal, Oreochromis niloticus,",471,112,0,"23,1"
"Peixe, água salgada, atum, assado/grelhado, s/ óleo, c/ sal, Thunnus thynnus,",631,149,0,"34,5"
"Peixe, água salgada, bacalhau, salgado, dessalgado, cozido, s/ óleo, s/ sal,",356,84,0,"20,4"
"Peixe, água salgada, bacalhau, salgado, dessalgado, refogado,",562,133,"1,22",24
"Peixe, água salgada, Merluza, filé, frito, s/ sal,",770,184,0,"26,8"
"Peixe, água salgada, pescada, branca, assado/grelhado, c/ manteiga e alcaparra, c/ sal,",682,163,"0,24","19,1"
"Peixe, água salgada, salmão, filé, s/ pele, frito (c/ óleo de soja), c/ sal,Salmo salar L.,",886,213,"0,83","19,3"
"Couve-flor, cozida, drenada, s/ óleo, c/ sal,Brassica oleracea var. botrytis L.,",69,16,"3,41","1,28"
"Feijão, carioca, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal,Phaseolus vulgaris L.,",330,79,"14,6","4,69"
"Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal,",124,30,"5,98","0,39"
"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal,",107,26,"5,92","1,8"
"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, c/ sal,",158,38,"3,89","1,18"
"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal,",108,26,"6,65","0,73"
"Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, c/ sal,",146,35,"2,75","0,96"
